"bout.ID","x","time.num","direction","bee_ID","round","treatment","microcolony","datetime","deployed_at","day_or_night","total_deployment_time"
"4",37.1818181818182,9.79625005088135,1,315,"2","control","2_control",2023-08-09 19:06:36.004396,2023-08-09 16:30:01,"day",22.1666666666667
"5",-298,9.80395288687475,-1,315,"2","control","2_control",2023-08-09 19:17:41.529426,2023-08-09 16:30:01,"day",22.1666666666667
"6",60.1666666666667,10.040889971384,1,315,"2","control","2_control",2023-08-10 00:58:52.893528,2023-08-09 16:30:01,"day",22.1666666666667
"7",57.4285714285714,10.1808317128762,1,315,"2","control","2_control",2023-08-10 04:20:23.859993,2023-08-09 16:30:01,"day",22.1666666666667
"8",33.75,10.3114548317808,1,315,"2","control","2_control",2023-08-10 07:28:29.697466,2023-08-09 16:30:01,"day",22.1666666666667
"9",52.6315789473684,10.4000079147799,1,315,"2","control","2_control",2023-08-10 09:36:00.683837,2023-08-09 16:30:01,"day",22.1666666666667
"10",NA,10.4398555632763,NA,315,"2","control","2_control",2023-08-10 10:33:23.520667,2023-08-09 16:30:01,"day",22.1666666666667
"11",169,10.5650612607796,1,315,"2","control","2_control",2023-08-10 13:33:41.292931,2023-08-09 16:30:01,"day",22.1666666666667
"1",50.6428571428571,9.69160445107722,1,308,"2","control","2_control",2023-08-09 16:35:54.624573,2023-08-09 16:30:01,"day",22.1666666666667
"2",-134.6,9.69397495074634,-1,308,"2","control","2_control",2023-08-09 16:39:19.435745,2023-08-09 16:30:01,"day",22.1666666666667
"3",183.5,9.81371219452333,1,308,"2","control","2_control",2023-08-09 19:31:44.733607,2023-08-09 16:30:01,"day",22.1666666666667
"4",25,9.89760032765659,1,308,"2","control","2_control",2023-08-09 21:32:32.668309,2023-08-09 16:30:01,"day",22.1666666666667
"5",-7.6,9.96693621883698,-1,308,"2","control","2_control",2023-08-09 23:12:23.289308,2023-08-09 16:30:01,"day",22.1666666666667
"6",-33.5,10.0382866838015,-1,308,"2","control","2_control",2023-08-10 00:55:07.969481,2023-08-09 16:30:01,"day",22.1666666666667
"7",28.5,10.0657099960356,1,308,"2","control","2_control",2023-08-10 01:34:37.343657,2023-08-09 16:30:01,"day",22.1666666666667
"8",50.1428571428571,10.1281303283403,1,308,"2","control","2_control",2023-08-10 03:04:30.460369,2023-08-09 16:30:01,"day",22.1666666666667
"9",-18.25,10.180132175296,-1,308,"2","control","2_control",2023-08-10 04:19:23.419945,2023-08-09 16:30:01,"day",22.1666666666667
"10",12.8333333333333,10.2484582428208,1,308,"2","control","2_control",2023-08-10 05:57:46.79218,2023-08-09 16:30:01,"day",22.1666666666667
"11",137,10.3247238958949,1,308,"2","control","2_control",2023-08-10 07:47:36.144605,2023-08-09 16:30:01,"day",22.1666666666667
"12",15,10.4352713004534,1,308,"2","control","2_control",2023-08-10 10:26:47.440359,2023-08-09 16:30:01,"day",22.1666666666667
"13",19.2727272727273,10.4375298832465,1,308,"2","control","2_control",2023-08-10 10:30:02.581913,2023-08-09 16:30:01,"day",22.1666666666667
"14",21.8,10.4410421933445,1,308,"2","control","2_control",2023-08-10 10:35:06.045505,2023-08-09 16:30:01,"day",22.1666666666667
"15",18.5,10.5500542665955,1,308,"2","control","2_control",2023-08-10 13:12:04.688634,2023-08-09 16:30:01,"day",22.1666666666667
"16",12.125,10.5546435425228,1,308,"2","control","2_control",2023-08-10 13:18:41.202074,2023-08-09 16:30:01,"day",22.1666666666667
